ID	System	Annotator	Source	Reference	Hypothesis	Difficulty	AccuracyBinary	AdditionBinary	DuplicationBinary	FluencyBinary	GrammarBinary	MistranslationBinary	NonExistingWordFormBinary	OmissionBinary	OverlyLitteralBinary	TypographyBinary	UnintelligibleBinary	WordOrderBinary
1	PA_offline	A1	And to my horror, not only had I written it, but I had sent it to court.	Und zu meinem Entsetzen hatte ich ihn nicht nur geschrieben, sondern auch ans Gericht geschickt.	Und zu meinem Horror hatte ich es nicht nur geschrieben, aber ich hatte es zu Gericht geschickt.	3.28	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000001000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000
1	PA_offline	A2	And to my horror, not only had I written it, but I had sent it to court.	Und zu meinem Entsetzen hatte ich ihn nicht nur geschrieben, sondern auch ans Gericht geschickt.	Und zu meinem Horror hatte ich es nicht nur geschrieben, aber ich hatte es zu Gericht geschickt.	3.28	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000001100	0000000000010000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000
1	PA_online	A1	And to my horror, not only had I written it, but I had sent it to court.	Und zu meinem Entsetzen hatte ich ihn nicht nur geschrieben, sondern auch ans Gericht geschickt.	Und zu meinem Horror hatte ich nicht nur es geschrieben, sondern ich hatte es vor Gericht geschickt.	3.28	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000001000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000010000000000
1	PA_online	A2	And to my horror, not only had I written it, but I had sent it to court.	Und zu meinem Entsetzen hatte ich ihn nicht nur geschrieben, sondern auch ans Gericht geschickt.	Und zu meinem Horror hatte ich nicht nur es geschrieben, sondern ich hatte es vor Gericht geschickt.	3.28	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000001100	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000010000000000
1	TF_offline	A1	And to my horror, not only had I written it, but I had sent it to court.	Und zu meinem Entsetzen hatte ich ihn nicht nur geschrieben, sondern auch ans Gericht geschickt.	Und zu meinem Entsetzen hatte ich es nicht nur geschrieben, sondern ich hatte es zu Gericht geschickt.	3.28	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000001000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000
1	TF_offline	A2	And to my horror, not only had I written it, but I had sent it to court.	Und zu meinem Entsetzen hatte ich ihn nicht nur geschrieben, sondern auch ans Gericht geschickt.	Und zu meinem Entsetzen hatte ich es nicht nur geschrieben, sondern ich hatte es zu Gericht geschickt.	3.28	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000001100	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000	0000000000000000000
1	TF_online	A1	And to my horror, not only had I written it, but I had sent it to court.	Und zu meinem Entsetzen hatte ich ihn nicht nur geschrieben, sondern auch ans Gericht geschickt.	Und für meinen Horror hatte ich nicht nur geschrieben, sondern ich hatte es an Gericht geschickt.	3.28	000000000000000000	000000000000000000	000000000000000000	000000000000000000	000000000000001000	000000000000000000	000000000000000000	000000100000000000	010000000000000000	000000000000000000	000000000000000000	000000000000000000
1	TF_online	A2	And to my horror, not only had I written it, but I had sent it to court.	Und zu meinem Entsetzen hatte ich ihn nicht nur geschrieben, sondern auch ans Gericht geschickt.	Und für meinen Horror hatte ich nicht nur geschrieben, sondern ich hatte es an Gericht geschickt.	3.28	000000000000000000	000000000000000000	000000000000000000	000000000000000000	010000100000000100	000000000000000000	000000000000000000	000000000000000000	000000000000000000	000000000000000000	000000000000000000	000000000000000000
2	PA_offline	A1	Say, ''Computer, would you please make a hundred million random sequences of instructions.	Wir sagen, ''Computer, generiere bitte einhundert Millionen zufällig ausgewählte Sequenzen von Instruktionen.	Sagt: ''Computer, würdest du bitte eine 100 Millionen zufällig ige Sequenzen von Anweisungen machen.	1.9	000000000000000000	000000000001000000	000000000000000000	000000000000000000	000000000010000000	000000000000000000	000000000000000000	000000000000000000	000000010000000000	000000000000000000	000000000000000000	000000000000000000
2	PA_offline	A2	Say, ''Computer, would you please make a hundred million random sequences of instructions.	Wir sagen, ''Computer, generiere bitte einhundert Millionen zufällig ausgewählte Sequenzen von Instruktionen.	Sagt: ''Computer, würdest du bitte eine 100 Millionen zufällig ige Sequenzen von Anweisungen machen.	1.9	000000000000000000	000000000000000000	000000000000000000	000000000000000000	000000010000000000	000000000000000000	000000000000000000	000000000000000000	000000000000000000	000000000010000000	000000000000000000	000000000000000000
2	PA_online	A1	Say, ''Computer, would you please make a hundred million random sequences of instructions.	Wir sagen, ''Computer, generiere bitte einhundert Millionen zufällig ausgewählte Sequenzen von Instruktionen.	Say: ''Computer, würdest du bitte hundert Millionen willkürliche Sequenzen von Anweisungen machen.	1.9	0000000000000000	0000000000000000	0000000000000000	0000000000000000	0000000000000000	0000000000000000	1000000000000000	0000000000000000	0000000000000000	0000000000000000	0000000000000000	0000000000000000
2	PA_online	A2	Say, ''Computer, would you please make a hundred million random sequences of instructions.	Wir sagen, ''Computer, generiere bitte einhundert Millionen zufällig ausgewählte Sequenzen von Instruktionen.	Say: ''Computer, würdest du bitte hundert Millionen willkürliche Sequenzen von Anweisungen machen.	1.9	0000000000000000	0000000000000000	0000000000000000	0000000000000000	0000000000000000	1000000000000000	0000000000000000	0000000000000000	0000000000000000	0000000000000000	0000000000000000	0000000000000000
2	TF_offline	A1	Say, ''Computer, would you please make a hundred million random sequences of instructions.	Wir sagen, ''Computer, generiere bitte einhundert Millionen zufällig ausgewählte Sequenzen von Instruktionen.	Sagen Sie: ''Computer, würden Sie bitte hundert Millionen willkürliche Sequenzen von Anweisungen machen.	1.9	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000
2	TF_offline	A2	Say, ''Computer, would you please make a hundred million random sequences of instructions.	Wir sagen, ''Computer, generiere bitte einhundert Millionen zufällig ausgewählte Sequenzen von Instruktionen.	Sagen Sie: ''Computer, würden Sie bitte hundert Millionen willkürliche Sequenzen von Anweisungen machen.	1.9	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000	00000000000000000
2	TF_online	A1	Say, ''Computer, would you please make a hundred million random sequences of instructions.	Wir sagen, ''Computer, generiere bitte einhundert Millionen zufällig ausgewählte Sequenzen von Instruktionen.	Sagen Sie: ''Computer, würden Sie bitte hundert Millionen zufällig zufällig abzustimmen.	1.9	000000000000000	000000000000000	000000000001000	000000000000000	000000000010000	000000000000100	000000000000000	000000000000100	000000000000000	000000000000000	000000000000000	000000000000000
2	TF_online	A2	Say, ''Computer, would you please make a hundred million random sequences of instructions.	Wir sagen, ''Computer, generiere bitte einhundert Millionen zufällig ausgewählte Sequenzen von Instruktionen.	Sagen Sie: ''Computer, würden Sie bitte hundert Millionen zufällig zufällig abzustimmen.	1.9	000000000000000	000000000000000	000000000001000	000000000000000	000000000010000	000000000000100	000000000000000	000000000001000	000000000000000	000000000000000	000000000000000	000000000000000
3	PA_offline	A1	And that 's this piece of metal I 'm going to be talking about in a minute.	Das ist das Stück Metall über das ich gleich reden werde.	Und das ist dieses Stück Metall, worüber ich gleich reden werde.	2.75	0000000000000	0000000000000	0000000000000	0000000000000	0000000000000	0000000100000	0000000000000	0000000000000	0000000000000	0000000000000	0000000000000	0000000000000
